id;ano;mes;semana_operativa;data_inicio;data_fim;ena_bruta_mw_se;ena_bruta_mw_s;ena_bruta_mw_ne;ena_bruta_mw_n;ena_bruta_mlt_se;ena_bruta_mlt_s;ena_bruta_mlt_ne;ena_bruta_mlt_n;ena_arm_mw_se;ena_arm_mw_s;ena_arm_mw_ne;ena_arm_mw_n;ena_arm_mlt_se;ena_arm_mlt_s;ena_arm_mlt_ne;ena_arm_mlt_n;vol_ena_arm_mlt_se;vol_ena_arm_mlt_s;vol_ena_arm_mlt_ne;vol_ena_arm_mlt_n;dias_contabilizados
537;2015;6;730;2015-06-01;2015-06-05;26658.8;9799.6;3123.4;7078.2;103.838000488;92.530000306;66.57599945;130.71000061;26550.6;9591;3101.8;6884.4;103.41200104;90.56000061;66.117999268;127.125997924;1.18982082010507;13.7476615143596;2.94083729752991;6.88678349970796;5
536;2015;6;731;2015-06-06;2015-06-12;24876.2857142857;6610.71428571429;2686.42857142857;6249.42857142857;96.8928571428571;62.4185709271429;57.2628566185714;115.404284885714;24778.1428571429;6519.85714285714;2662.28571428571;6053;96.5085721714286;61.5628564014286;56.7457139157143;111.77571433;4.00501405120646;5.01557788093928;2.93367168745845;3.58124246409103;7
535;2015;6;732;2015-06-13;2015-06-19;22194.4285714286;22331.4285714286;2473.85714285714;5136.42857142857;86.4471413742857;210.8600017;52.7328562057143;94.8500006557143;22103.5714285714;20292.4285714286;2449.85714285714;4995.28571428571;86.0914284828572;191.605713981429;52.2199995842857;92.2428577971429;1.8266023454623601;53.522005483278;0.356838293629869;6.15219733032586;7
534;2015;6;733;2015-06-20;2015-06-26;20901.5714285714;17174;2370.28571428571;4124;81.4099993014286;162.160002571429;50.5228571214286;76.1557148514286;20775.5714285714;15813.5714285714;2341.28571428571;4092.85714285714;80.9199992585714;149.315714154286;49.9042859757143;75.57999965;2.50077926212479;23.5331861822968;1.26096309202449;3.99420952360706;7
533;2015;6;734;2015-06-27;2015-07-03;19749.1428571429;10936.4285714286;2129.28571428571;3537;84.171427044285707;101.08428519;49.3899999328571;82.6857147214286;19587.8571428571;10500.2857142857;2111.28571428571;3527.28571428571;83.49571446;97.0657152457143;48.9742851242857;82.4685701642857;13.1524393771615;6.89574623006822;3.7320448699691;19.5163988175245;7
532;2015;7;735;2015-07-04;2015-07-10;28403;16288.2857142857;2085.28571428571;3183.71428571429;133.934283665714;146.128570557143;53.8899999342857;96.6485704685714;28218.8571428571;14755.7142857143;2057.85714285714;3168.57142857143;133.067144121429;132.379998344286;53.1800003042857;96.1885713842857;9.04152766519546;45.0339551179416;0.75538118946716;2.63565561604807;7
531;2015;7;736;2015-07-11;2015-07-17;34046.5714285714;44154.8571428571;1954.42857142857;2766.28571428571;160.547143118571;396.132866997143;50.5085716257143;83.9757134585714;30330.1428571429;25308.8571428571;1929.85714285714;2749.42857142857;143.022854397143;227.054286412857;49.8728566828571;83.4642857142857;9.41393785051606;36.3720640394718;3.16420540091169;4.63296531174154;7
530;2015;7;737;2015-07-18;2015-07-24;30475.4285714286;35990.8571428571;1990.71428571429;2465.14285714286;143.709997995714;322.890001567143;51.4457141357143;74.8371429442857;27147.4285714286;17100.1428571429;1967.42857142857;2454.85714285714;128.014284405714;153.410000391429;50.8442856957143;74.5242854528571;6.90823783335961;44.4235583404874;3.77752015959528;0.954968271819646;7
529;2015;7;738;2015-07-25;2015-07-31;23130.7142857143;24693.1428571429;1960.42857142857;2472.71428571429;109.072857447143;221.532856532857;50.66285651;75.0657141557143;22363.8571428571;14302.7142857143;1926;2432.14285714286;105.457142418571;128.317141942857;49.7742859957143;73.8328574028571;5.84875995596871;16.5748984214203;1.371992005194;2.1274931719275;7
528;2015;8;739;2015-08-01;2015-08-07;19062;14022.7142857143;1814.28571428571;2279;107.89428493;136.74999891;53.76714325;93.2257156371429;18912;11734.4285714286;1794.71428571429;2203.42857142857;107.044285364286;114.434285845714;53.1842852985714;90.13571385;6.08829935208563;16.6961236766182;1.35871040228893;4.27289381867196;7
527;2015;8;740;2015-08-08;2015-08-14;16249.8571428571;7670.85714285714;1749.28571428571;2073.57142857143;91.9771423357143;74.8085724971429;51.8385707314286;84.8228574485714;16079.2857142857;6850.28571428571;1725.57142857143;2031.42857142857;91.0114288328571;66.8042858671429;51.1371432728572;83.0985728685714;3.22212767908861;12.2270077607634;1.72163453897607;3.76513490874054;7
526;2015;8;741;2015-08-15;2015-08-21;14816;5580.42857142857;1696.14285714286;1726.57142857143;83.8628572728571;54.4214292242857;50.2628571671429;70.6300005214286;14666.2857142857;4705.71428571429;1673;1694.57142857143;83.0128577114286;45.8914293571429;49.5771429871429;69.3214307514286;1.98143451594474;2.29983633466142;1.8292858416312;2.87046697677926;7
525;2015;8;742;2015-08-22;2015-08-28;14286.2857142857;6172.14285714286;1716.28571428571;1676.42857142857;80.8614283971428;60.1914285928572;50.8614278514286;68.5771418971429;14132.5714285714;5392.14285714286;1699.42857142857;1634;79.9928577971429;52.5857140685714;50.3600000657143;66.84142903;1.46753419332151;10.4848641499334;1.57487497786374;2.75461078456791;7
524;2015;8;743;2015-08-29;2015-09-04;14501.1428571429;6349.57142857143;1560.28571428571;1467.14285714286;82.5028577542857;57.1542854314286;49.33142853;70.5371426157143;14363.5714285714;5538.28571428571;1537;1456.42857142857;81.7185723442857;50.0985717785714;48.5942846028571;70.0128582542857;1.59840945123738;11.4079693493605;3.01173726411261;8.36394674690429;7
523;2015;9;744;2015-09-05;2015-09-11;17961.8571428571;8065.28571428571;1390.42857142857;1333.42857142857;102.599998474286;67.5857146128571;46.0971434457143;71.6142850614286;17786.8571428571;7451.71428571429;1367.57142857143;1294;101.601428441429;62.44285638;45.3414284842857;69.4971422471429;27.10330163133;17.7349773164354;4.89122202850568;2.71045396944224;7
